Date,Event,Decimal,Yijinecimal
1/7/2003,2003年七一大遊行,500000,350000
1/7/2004,2004年七一大遊行,530000,200000
1/7/2005,2005年七一大遊行,21000,11000
1/7/2006,2006年七一大遊行,58000,28000
1/7/2007,2007年七一大遊行,68000,20000
1/7/2008,2008年七一大遊行,47000,15500
1/7/2009,2009年七一大遊行,76000,26000
1/7/2010,2010年七一大遊行,52000,20000
1/7/2011,2011年七一大遊行,218000,54000
1/7/2012,2012年七一大遊行,400000,63000
1/7/2013,2013年七一大遊行,430000,66000
1/7/2014,2014年七一大遊行,510000,98600
1/7/2015,2015年七一大遊行,48000,19650
1/7/2016,2016年七一大遊行,110000,19300
1/7/2017,2017年七一大遊行,60000,14500
1/7/2018,2018年七一大遊行,50000,9800
31/03/2019,第一次民陣遊行（逃犯條例）,12000,5200
28/04/2019,第二次民陣遊行（逃犯條例）,130000,22000
9/6/2019,第三次民陣遊行（逃犯條例）,1030000,240000
16/06/2019,第四次民陣遊行（逃犯條例）,2000001,338000
4/6/1990,維園六四燭光晚會,150000,80000
4/6/1991,維園六四燭光晚會,100000,60000
4/6/1992,維園六四燭光晚會,80000,28000
4/6/1993,維園六四燭光晚會,40000,12000
4/6/1994,維園六四燭光晚會,40000,12000
4/6/1995,維園六四燭光晚會,35000,16000
4/6/1996,維園六四燭光晚會,45000,16000
4/6/1998,維園六四燭光晚會,40000,16000
4/6/2004,維園六四燭光晚會,82000,48000
4/6/2005,維園六四燭光晚會,45000,22000
4/6/2006,維園六四燭光晚會,44000,19000
4/6/2007,維園六四燭光晚會,55000,27000
4/6/2008,維園六四燭光晚會,48000,18000
4/6/2009,維園六四燭光晚會,150000,62800
4/6/2010,維園六四燭光晚會,150000,113000
4/6/2011,維園六四燭光晚會,150000,77000
4/6/2012,維園六四燭光晚會,180000,85000
4/6/2013,維園六四燭光晚會,15000,54000
4/6/2014,維園六四燭光晚會,180000,99500
4/6/2015,維園六四燭光晚會,135000,46600
4/6/2016,維園六四燭光晚會,125000,21800
4/6/2017,維園六四燭光晚會,110000,18000
4/6/2018,維園六四燭光晚會,115000,17000
4/6/2019,維園六四燭光晚會,180000,37000
